Date,NIIP
2000Q2,-91720
2000Q3,-94170
2000Q4,-93038
2001Q1,-87880
2001Q2,-91228
2001Q3,-90606
2001Q4,-79305
2002Q1,-84558
2002Q2,-85140
2002Q3,-86443
2002Q4,-88328
2003Q1,-89589
2003Q2,-92767
2003Q3,-94772
2003Q4,-96145
2004Q1,-100596
2004Q2,-99623
2004Q3,-106093
2004Q4,-111481
2005Q1,-110773
2005Q2,-111510
2005Q3,-116818
2005Q4,-120665
2006Q1,-118345
2006Q2,-118985
2006Q3,-124574
2006Q4,-130589
2007Q1,-129757
2007Q2,-133418
2007Q3,-135949
2007Q4,-135977
2008Q1,-138295
2008Q2,-142605
2008Q3,-152257
2008Q4,-155609
2009Q1,-159685
2009Q2,-156598
2009Q3,-156330
2009Q4,-153842
2010Q1,-152424
2010Q2,-154495
2010Q3,-146829
2010Q4,-143438
2011Q1,-126807
2011Q2,-131147
2011Q3,-141260
2011Q4,-143741
2012Q1,-143130
2012Q2,-145747
2012Q3,-146592
2012Q4,-150157
2013Q1,-148116
2013Q2,-149317
2013Q3,-147842
2013Q4,-145566
2014Q1,-151317
2014Q2,-151235
2014Q3,-152048
2014Q4,-155225
2015Q1,-150961
2015Q2,-145667
2015Q3,-150563
2015Q4,-149853
2016Q1,-155729
2016Q2,-159894
2016Q3,-164832
2016Q4,-154499
2017Q1,-148863
2017Q2,-150723
2017Q3,-150091
2017Q4,-150330
2018Q1,-150468
2018Q2,-154630
2018Q3,-156092
2018Q4,-168806
2019Q1,-163922
2019Q2,-166704
2019Q3,-171170
2019Q4,-171895
2020Q1,-182036
