LOCATION,TIME,Value
AUS,1990,3.976
AUS,1991,3.842
AUS,1992,3.77
AUS,1993,3.396
AUS,1994,3.894
AUS,1995,4.172
AUS,1996,4.35
AUS,1997,4.18
AUS,1998,4.28
AUS,1999,4.648
AUS,2000,6.161
AUS,2001,4.349
AUS,2002,4.953
AUS,2003,4.967
AUS,2004,5.47
AUS,2005,5.766
AUS,2006,6.282
AUS,2007,6.672
AUS,2008,5.663
AUS,2009,4.589
AUS,2010,4.519
AUS,2011,5
AUS,2012,4.974
AUS,2013,4.761
AUS,2014,4.49
AUS,2015,4.248
AUS,2016,4.547
AUS,2017,5.278
DEU,1990,1.681
DEU,1991,1.519
DEU,1992,1.439
DEU,1993,1.298
DEU,1994,1.054
DEU,1995,1.01
DEU,1996,1.353
DEU,1997,1.432
DEU,1998,1.545
DEU,1999,1.725
DEU,2000,1.752
DEU,2001,0.581
DEU,2002,0.983
DEU,2003,1.228
DEU,2004,1.503
DEU,2005,1.737
DEU,2006,2.11
DEU,2007,2.178
DEU,2008,1.894
DEU,2009,1.322
DEU,2010,1.49
DEU,2011,1.679
DEU,2012,1.713
DEU,2013,1.76
DEU,2014,1.725
DEU,2015,1.723
DEU,2016,1.975
DEU,2017,2.03
JPN,1990,6.312
JPN,1991,5.782
JPN,1992,4.728
JPN,1993,4.117
JPN,1994,3.929
JPN,1995,4.109
JPN,1996,4.418
JPN,1997,4.099
JPN,1998,3.584
JPN,1999,3.331
JPN,2000,3.543
JPN,2001,3.356
JPN,2002,3.033
JPN,2003,3.196
JPN,2004,3.577
JPN,2005,4.073
JPN,2006,4.584
JPN,2007,4.628
JPN,2008,3.741
JPN,2009,2.484
JPN,2010,3.078
JPN,2011,3.23
JPN,2012,3.521
JPN,2013,3.821
JPN,2014,3.914
JPN,2015,3.775
JPN,2016,3.684
JPN,2017,3.714
NZL,1990,2.344
NZL,1991,2.416
NZL,1992,2.936
NZL,1993,3.492
NZL,1994,4.325
NZL,1995,4.226
NZL,1996,3.236
NZL,1997,3.746
NZL,1998,3.42
NZL,1999,3.676
NZL,2000,4.021
NZL,2001,3.637
NZL,2002,4.142
NZL,2003,4.508
NZL,2004,5.295
NZL,2005,6.049
NZL,2006,5.566
NZL,2007,4.797
NZL,2008,4.315
NZL,2009,3.339
NZL,2010,3.697
NZL,2011,3.944
NZL,2012,4.521
NZL,2013,4.37
NZL,2014,4.187
NZL,2015,4.436
NZL,2016,4.924
NZL,2017,4.703
GBR,1990,3.26
GBR,1991,2.583
GBR,1992,1.93
GBR,1993,1.777
GBR,1994,2.066
GBR,1995,2.383
GBR,1996,2.737
GBR,1997,3.372
GBR,1998,3.432
GBR,1999,3.175
GBR,2000,3.494
GBR,2001,3.033
GBR,2002,2.644
GBR,2003,2.544
GBR,2004,2.935
GBR,2005,3.423
GBR,2006,3.468
GBR,2007,3.302
GBR,2008,2.905
GBR,2009,2.57
GBR,2010,2.947
GBR,2011,2.831
GBR,2012,2.66
GBR,2013,2.553
GBR,2014,2.471
GBR,2015,2.426
GBR,2016,2.706
GBR,2017,2.811
USA,1990,1.962
USA,1991,1.832
USA,1992,1.938
USA,1993,2.178
USA,1994,2.281
USA,1995,2.455
USA,1996,2.521
USA,1997,2.524
USA,1998,2.346
USA,1999,2.319
USA,2000,2.237
USA,2001,1.573
USA,2002,1.434
USA,2003,1.831
USA,2004,2.243
USA,2005,2.872
USA,2006,3.078
USA,2007,2.672
USA,2008,1.695
USA,2009,1.367
USA,2010,1.771
USA,2011,1.752
USA,2012,2.009
USA,2013,2.099
USA,2014,2.261
USA,2015,2.117
USA,2016,2.036
USA,2017,1.729
OAVG,1990,2.477
OAVG,1991,2.58
OAVG,1992,2.313
OAVG,1993,2.421
OAVG,1994,2.465
OAVG,1995,2.637
OAVG,1996,2.65
OAVG,1997,2.838
OAVG,1998,2.828
OAVG,1999,2.829
OAVG,2000,3.172
OAVG,2001,2.903
OAVG,2002,2.829
OAVG,2003,2.837
OAVG,2004,3.01
OAVG,2005,3.306
OAVG,2006,3.552
OAVG,2007,3.581
OAVG,2008,3.273
OAVG,2009,2.647
OAVG,2010,2.673
OAVG,2011,2.784
OAVG,2012,2.799
OAVG,2013,2.788
OAVG,2014,2.75
OAVG,2015,2.764
OAVG,2016,2.876
OAVG,2017,2.993
