Date,AUS,CAN,GER,JPN,KOR,NZ,UK,US
1971,-0.002988123,0.026356861,0.022954676,0.036693771,0.083002339,0.021910682,0.029569137,0.0199875
1972,0.009993245,0.04292,0.038101764,0.069537654,0.051585261,0.033510689,0.040071934,0.041398273
1973,0.02535598,0.055376293,0.044574756,0.055671651,0.128161669,0.056959061,0.062853144,0.04641091
1974,-0.002444819,0.018483472,0.008604645,-0.025701852,0.076014099,0.038610394,-0.025070204,-0.014512507
1975,0.015822017,-0.0000843,-0.004883575,0.018340079,0.060628843,-0.034825997,-0.014560841,-0.011678421
1976,0.025605504,0.044944452,0.054340889,0.028226195,0.11323764,-0.000105057,0.029284886,0.043706862
1977,-0.003142079,0.022346841,0.035482169,0.033730252,0.105403193,-0.043051518,0.025053736,0.035778175
1978,0.029668667,0.026565928,0.031181369,0.043192512,0.091073669,0.002863809,0.042262536,0.044262833
1979,0.018229304,0.026895868,0.041209233,0.046097888,0.06989592,0.01898584,0.036346388,0.020309744
1980,0.019084015,0.008467932,0.011511464,0.020078025,-0.032215427,0.010909758,-0.021876119,-0.014043269
1981,0.025255008,0.022055809,0.003818946,0.034650646,0.055212601,0.042238115,-0.008372892,0.015202067
1982,-0.039004636,-0.043322211,-0.00289498,0.02594015,0.066060366,0.001053736,0.021163683,-0.027372297
1983,0.03159333,0.015924764,0.018492275,0.028231336,0.115839741,0.021128943,0.041758193,0.03639936
1984,0.039932122,0.04913157,0.031878267,0.038340947,0.090873482,0.037638364,0.021004316,0.063017179
1985,0.026607056,0.037847754,0.025624092,0.045864314,0.066932642,0.011797271,0.038802186,0.032471105
1986,0.010802841,0.01134444,0.022583614,0.028074632,0.101236476,-0.036784531,0.029137944,0.025268193
1987,0.041443865,0.027102819,0.013655095,0.042347573,0.113638936,0.00799875,0.051702272,0.025394227
1988,0.021791561,0.030649798,0.03180127,0.063448055,0.108161399,0.017599517,0.055242163,0.032340159
1989,0.018324546,0.004974699,0.031546099,0.044665776,0.059762272,-0.000524945,0.022883101,0.026979946
1990,-0.01860546,-0.013340905,0.043436677,0.045482359,0.087348981,-0.004285961,0.004503289,0.007481444
1991,-0.008590899,-0.032952185,0.043078076,0.030091316,0.092660835,-0.053476948,-0.014492604,-0.014277806
1992,0.02871238,-0.002870883,0.012608687,0.004709067,0.050785603,0.002284436,0.001467428,0.021557413
1993,0.030617132,0.015388446,-0.015249228,-0.008133403,0.057654847,0.052541107,0.022607148,0.014262553
1994,0.028405836,0.033560929,0.021445827,0.008492639,0.08112891,0.038179729,0.035805059,0.027759323
1995,0.027280802,0.01636941,0.013335502,0.024801608,0.084746893,0.02972193,0.022433385,0.014775787
1996,0.027119686,0.005625946,0.006253587,0.02874184,0.065735571,0.017879708,0.022466264,0.02569666
1997,0.03451654,0.032486624,0.017287148,0.008355537,0.049336361,0.017791695,0.035879582,0.032059753
1998,0.040311194,0.030374997,0.020992605,-0.013930229,-0.06151455,0.002836378,0.033593586,0.032722131
1999,0.028022152,0.043115843,0.019220609,-0.004393693,0.105207945,0.046219479,0.030597832,0.03562846
2000,0.007711966,0.04202555,0.028510654,0.025817668,0.080184247,0.016793045,0.03082581,0.029956447
2001,0.026747169,0.006901912,0.016227503,0.001686522,0.040510462,0.029219028,0.025790672,-0.0000267
2002,0.01820991,0.01904056,-0.002731433,-0.000924646,0.071033262,0.031924525,0.018883005,0.007769531
2003,0.028657059,0.008878411,-0.006781139,0.01342115,0.026152633,0.026196888,0.028169275,0.019158931
2004,0.021065275,0.021297171,0.013053033,0.021244521,0.047793272,0.01842898,0.018393886,0.028659071
2005,0.015510748,0.022340304,0.008692159,0.016459477,0.040878092,0.021803769,0.023890699,0.025582309
2006,0.024519773,0.016026,0.040245242,0.013543147,0.047147982,0.013809395,0.020888438,0.018825652
2007,0.017835143,0.010854486,0.032142343,0.015414313,0.052648296,0.029148202,0.016085525,0.009043553
2008,-0.000855204,-0.000836872,0.012472741,-0.011436912,0.022338883,-0.024728959,-0.010957455,-0.010701162
2009,-0.000147185,-0.040280088,-0.053679517,-0.054085239,0.002754751,0.008310045,-0.049197036,-0.03392307
2010,0.008809735,0.019499765,0.044370611,0.04184427,0.062745284,-0.000360751,0.011388546,0.017227243
2011,0.024846951,0.02141746,0.039358067,0.000502897,0.028905401,0.02018003,0.006978183,0.008175689
2012,0.008091738,0.006618781,0.002310797,0.017171056,0.018660399,0.018912312,0.008099312,0.015265065
2013,0.007837743,0.012537045,0.001542012,0.021758434,0.026962135,0.011194346,0.015004653,0.01145036
2014,0.006793642,0.018408723,0.01800407,0.004307381,0.025557028,0.019396961,0.018274889,0.017873204
2015,0.013022333,-0.000892392,0.00862813,0.013438575,0.02269171,0.024178466,0.015491898,0.021678802
2016,0.007811047,-0.001358811,0.014082439,0.006620288,0.025388116,0.017439731,0.010829637,0.009177318
2017,0.012207835,0.019459457,0.02083342,0.023514024,0.028703444,0.021954834,0.012872621,0.017112516
2018,0.003025512,0.005974212,0.012223879,0.00531828,0.021775339,0.012213654,0.007366318,0.022904733
2019,0.002725077,0.001993421,0.003234212,0.008960274,0.015862915,0.006292248,0.008062622,0.018422487
