Country,Time,Value
AUS,1990,-9.479649
AUS,1991,-3.997458
AUS,1992,6.634916
AUS,1993,5.793483
AUS,1994,11.025008
AUS,1995,2.737328
AUS,1996,6.637751
AUS,1997,9.736864
AUS,1998,4.439769
AUS,1999,8.09421
AUS,2000,-7.943315
AUS,2001,9.124572
AUS,2002,12.567429
AUS,2003,8.735358
AUS,2004,6.094674
AUS,2005,8.273518
AUS,2006,4.519916
AUS,2007,8.761808
AUS,2008,1.524185
AUS,2009,1.747923
AUS,2010,3.599905
AUS,2011,11.602782
AUS,2012,2.891471
AUS,2013,-1.889111
AUS,2014,-3.691974
AUS,2015,-3.642808
AUS,2016,0.04499
AUS,2017,4.916807
AUS,2018,-1.433987
DEU,1990,7.995906
DEU,1991,5.318589
DEU,1992,4.481861
DEU,1993,-4.538452
DEU,1994,3.574975
DEU,1995,-0.191755
DEU,1996,-0.432275
DEU,1997,0.518571
DEU,1998,4.019197
DEU,1999,4.290656
DEU,2000,2.090246
DEU,2001,-2.621603
DEU,2002,-6.085215
DEU,2003,-1.622838
DEU,2004,-0.433474
DEU,2005,0.89491
DEU,2006,7.527267
DEU,2007,3.611638
DEU,2008,1.581495
DEU,2009,-9.457742
DEU,2010,5.275471
DEU,2011,7.38889
DEU,2012,-0.227625
DEU,2013,-1.285907
DEU,2014,3.235633
DEU,2015,1.760456
DEU,2016,3.8
DEU,2017,2.447013
DEU,2018,3.451194
JPN,1990,6.279843
JPN,1991,2.908608
JPN,1992,-2.532837
JPN,1993,-4.893137
JPN,1994,-2.230514
JPN,1995,3.491875
JPN,1996,6.49464
JPN,1997,-1.995838
JPN,1998,-3.985991
JPN,1999,-0.968039
JPN,2000,0.508929
JPN,2001,-1.706615
JPN,2002,-5.110898
JPN,2003,-0.771977
JPN,2004,0.109898
JPN,2005,3.092622
JPN,2006,0.380405
JPN,2007,-1.910569
JPN,2008,-3.789435
JPN,2009,-9.740147
JPN,2010,-1.593052
JPN,2011,1.655674
JPN,2012,3.543746
JPN,2013,4.931365
JPN,2014,3.054434
JPN,2015,1.647526
JPN,2016,-0.331005
JPN,2017,2.952493
JPN,2018,0.583906
NZL,1990,-3.166888
NZL,1991,-15.292567
NZL,1992,2.585897
NZL,1993,16.921461
NZL,1994,15.340852
NZL,1995,10.851506
NZL,1996,4.761905
NZL,1997,1.382265
NZL,1998,-3.454485
NZL,1999,10.540139
NZL,2000,-0.24449
NZL,2001,8.357209
NZL,2002,7.916534
NZL,2003,14.37048
NZL,2004,8.17438
NZL,2005,5.733715
NZL,2006,-1.708302
NZL,2007,7.7739
NZL,2008,-7.306889
NZL,2009,-10.284519
NZL,2010,3.757973
NZL,2011,6.01669
NZL,2012,4.93002
NZL,2013,9.800701
NZL,2014,7.913247
NZL,2015,3.91841
NZL,2016,2.770318
NZL,2017,6.871514
NZL,2018,3.671065
GBR,1990,-2.210661
GBR,1991,-6.328682
GBR,1992,0.899137
GBR,1993,1.559287
GBR,1994,6.396448
GBR,1995,4.739805
GBR,1996,4.667654
GBR,1997,-1.568378
GBR,1998,7.671378
GBR,1999,2.246219
GBR,2000,4.36015
GBR,2001,2.328955
GBR,2002,3.50541
GBR,2003,2.419665
GBR,2004,1.366812
GBR,2005,4.881028
GBR,2006,3.487275
GBR,2007,3.731262
GBR,2008,-5.266005
GBR,2009,-12.414461
GBR,2010,3.555322
GBR,2011,-1.069284
GBR,2012,1.970057
GBR,2013,3.464007
GBR,2014,6.592747
GBR,2015,3.683103
GBR,2016,3.641227
GBR,2017,1.632848
GBR,2018,-0.224731
USA,1990,-0.104831
USA,1991,-4.107017
USA,1992,4.100044
USA,1993,5.095002
USA,1994,6.10475
USA,1995,5.155779
USA,1996,7.654242
USA,1997,7.181131
USA,1998,9.293721
USA,1999,8.324466
USA,2000,6.397547
USA,2001,-0.423111
USA,2002,-1.695693
USA,2003,4.236905
USA,2004,5.992811
USA,2005,6.059387
USA,2006,2.674307
USA,2007,-0.578935
USA,2008,-4.205588
USA,2009,-12.522083
USA,2010,2.232247
USA,2011,4.576503
USA,2012,6.869911
USA,2013,3.568419
USA,2014,5.133423
USA,2015,3.22963
USA,2016,1.898567
USA,2017,3.669457
USA,2018,4.133911
