Date,value_housing,hpi
33208,126.0,481.7
33298,124.0,479.0
33390,123.0,469.6
33482,125.0,468.5
33573,125.0,466.3
33664,125.0,468.0
33756,127.0,467.4
33848,128.0,470.3
33939,129.0,477.5
34029,131.0,480.7
34121,133.0,482.5
34213,136.0,490.5
34304,140.0,503.0
34394,148.0,520.1
34486,154.0,536.4
34578,160.0,554.4
34669,164.0,572.0
34759,168.0,579.2
34851,172.0,584.6
34943,177.0,599.4
35034,183.0,621.4
35125,192.0,653.1
35217,196.0,663.4
35309,197.0,662.5
35400,201.0,680.5
35490,209.0,695.9
35582,215.0,701.7
35674,218.0,705.6
35765,221.0,715.5
35855,220.0,708.8
35947,218.0,688.2
36039,219.0,676.7
36130,221.0,689.8
36220,223.0,701.1
36312,226.0,705.0
36404,227.0,705.8
36495,227.0,705.2
36586,229.0,704.7
36678,229.0,697.7
36770,232.0,697.1
36861,232.0,696.6
36951,236.0,701.1
37043,238.0,699.5
37135,241.0,705.9
37226,246.0,717.9
37316,255.0,736.8
37408,260.0,751.9
37500,270.0,773.5
37591,282.0,800.6
37681,298.0,842.4
37773,312.0,871.1
37865,339.0,937.6
37956,370.0,1000.0
38047,387.0,1041.1
38139,396.0,1066.1
38231,413.0,1090.9
38322,428.8,1124.9
38412,452.3,1180.0
38504,467.8,1214.4
38596,484.4,1250.7
38687,505.7,1299.9
38777,519.5,1324.0
38869,525.2,1336.8
38961,538.5,1369.9
39052,559.2,1418.3
39142,586.6,1479.2
39234,605.0,1520.0
39326,610.8,1525.7
39417,613.7,1531.1
39508,615.8,1521.3
39600,591.6,1452.9
39692,581.5,1422.7
39783,568.3,1394.8
39873,568.2,1382.9
39965,578.0,1406.6
40057,594.4,1437.7
40148,605.9,1467.8
40238,608.7,1469.4
40330,603.3,1454.7
40422,600.9,1445.1
40513,601.8,1444.1
40603,605.2,1447.1
40695,602.4,1452.4
40787,613.3,1473.6
40878,614.6,1477.5
40969,620.6,1493.4
41061,629.7,1510.4
41153,642.2,1540.6
41244,655.5,1572.4
41334,671.6,1608.8
41426,688.8,1645.0
41518,708.1,1697.0
41609,718.7,1714.9
41699,724.7,1734.1
41791,735.6,1749.1
41883,745.0,1778.5
41974,768.0,1834.8
42064,791.2,1891.5
42156,821.4,1956.1
42248,862.3,2045.2
42339,873.2,2059.6
42430,905.4,2135.6
42522,959.9,2248.8
42614,1001.8,2333.3
42705,1013.8,2355.0
42795,1030.9,2391.1
42887,1042.8,2394.8
42979,1051.6,2421.9
43070,1067.4,2448.9
43160,1079.5,2480.9
43252,1090.5,2480.9
43344,1105.1,2494.8
43435,1118.1,2517.2
43525,1127.0,2525.7
43617,1131.3,2517.8
43709,1157.4,2565.2
43800,1188.3,2626.1
